"dataResourceUid","dataResourceName","basisOfRecord","observationDate","stateProvince","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","scientificName","vernacularName","recordID"
"dr1010","ClimateWatch","OBSERVATION",2015-03-27,"New South Wales",-33.62,150.75,1000,"Lathamus discolor","Swift Parrot","5e6448e3-b357-40b1-b463-418a5e648a07"
"dr1010","ClimateWatch","OBSERVATION",2015-12-13,"New South Wales",-33.88,150.88,1000,"Lathamus discolor","Swift Parrot","9478e720-8827-4cf9-9f19-53cbadb1db28"
"dr1010","ClimateWatch","OBSERVATION",2015-09-03,"Western Australia",-32.215383,115.830206,1000,"Lathamus discolor","Swift Parrot","e83e0972-aa35-47f0-8c5d-629a369a0897"
"dr1010","ClimateWatch","OBSERVATION",2015-03-26,"New South Wales",-34.07,150.79,1000,"Lathamus discolor","Swift Parrot","8fe950d0-0546-48f4-9161-683e0b8eeab3"
"dr1010","ClimateWatch","OBSERVATION",2017-03-20,"New South Wales",-33.80874,150.994947,1000,"Lathamus discolor","Swift Parrot","926b5500-8cd1-45d6-a0d6-5af34e263724"
"dr1010","ClimateWatch","OBSERVATION",2015-03-27,"New South Wales",-34.07,150.79,1000,"Lathamus discolor","Swift Parrot","63e5c8d5-db78-4b91-8263-aedc8c634a5b"
"dr1010","ClimateWatch","OBSERVATION",2015-03-24,"New South Wales",-34.07,150.79,1000,"Lathamus discolor","Swift Parrot","2fe32f1e-e4b5-4c57-ab4b-d64c60a7694c"
"dr1010","ClimateWatch","OBSERVATION",2017-03-27,"New South Wales",-34.018732,150.812611,1000,"Lathamus discolor","Swift Parrot","446a2d5e-5396-48f0-bea6-4d38b05f5dda"
"dr1010","ClimateWatch","OBSERVATION",2015-03-24,"New South Wales",-33.78,150.88,1000,"Lathamus discolor","Swift Parrot","751a7edb-59f4-44d9-a45e-5bdf7ab85a83"
"dr1010","ClimateWatch","OBSERVATION",2013-03-28,"New South Wales",-34.04,151.15,30,"Lathamus discolor","Swift Parrot","370df9a1-f38e-4b30-adca-98bc4cd6f60a"
"dr1010","ClimateWatch","OBSERVATION",2013-03-28,"New South Wales",-33.81,151.02,30,"Lathamus discolor","Swift Parrot","0532b665-5dd0-46c3-9a79-964e771f2c44"
"dr1010","ClimateWatch","OBSERVATION",2013-04-02,"New South Wales",-33.81,150.81,30,"Lathamus discolor","Swift Parrot","c9344b1c-414f-4ac7-82f5-7ae4e6b2a947"
"dr1010","ClimateWatch","OBSERVATION",2015-04-01,"New South Wales",-33.79,150.69,1000,"Lathamus discolor","Swift Parrot","949fb7ed-6f66-4a62-90b3-b7c43db1bd15"
"dr1010","ClimateWatch","OBSERVATION",2013-03-26,"New South Wales",-33.91,151.06,30,"Lathamus discolor","Swift Parrot","aed1a31f-af56-4e34-8cc8-c0a13787fd2c"
"dr1010","ClimateWatch","OBSERVATION",2015-04-04,"New South Wales",-33.8,151,1000,"Lathamus discolor","Swift Parrot","04fa7dec-af18-4073-9c8b-f0da5e2b6c34"
"dr1010","ClimateWatch","OBSERVATION",2013-03-30,"New South Wales",-33.7,151.05,30,"Lathamus discolor","Swift Parrot","ce54c8d8-8ebb-49a5-8b4a-18521bc1bab2"
"dr1010","ClimateWatch","OBSERVATION",2017-03-17,"New South Wales",-33.848833,150.989768,1000,"Lathamus discolor","Swift Parrot","6aa0b81f-18e0-416c-b77c-fa3fd1a3da6a"
"dr1010","ClimateWatch","OBSERVATION",2013-03-15,"New South Wales",-34.07,150.79,30,"Lathamus discolor","Swift Parrot","067a15bb-d3e4-4a05-9e62-b5811b18dad8"
"dr1010","ClimateWatch","OBSERVATION",2013-04-29,"New South Wales",-33.61,150.75,30,"Lathamus discolor","Swift Parrot","3ef8a1e7-ee9b-4979-8a64-70461945ae1e"
"dr1010","ClimateWatch","OBSERVATION",2017-03-20,"New South Wales",-34.068439,150.789591,1000,"Lathamus discolor","Swift Parrot","a9b0e070-5e16-469d-882f-6ec3b168321f"
"dr1010","ClimateWatch","OBSERVATION",2015-03-28,"New South Wales",-33.91,150.89,1000,"Lathamus discolor","Swift Parrot","882d8fe9-cf77-4f27-8a05-7983975906aa"
"dr1010","ClimateWatch","OBSERVATION",2013-03-27,"New South Wales",-33.99,151.06,30,"Lathamus discolor","Swift Parrot","88f242fb-a63c-48c8-86ea-a701828ae479"
"dr1010","ClimateWatch","OBSERVATION",2013-05-07,"Victoria",-37.84258,144.963555,30,"Lathamus discolor","Swift Parrot","85a0792d-5d00-49f9-8a94-a180afe93f20"
"dr1010","ClimateWatch","OBSERVATION",2017-03-13,"New South Wales",-34.06898,150.791356,1000,"Lathamus discolor","Swift Parrot","6bfb37b5-0447-4cdd-bd18-c5c7412acc7f"
"dr1010","ClimateWatch","OBSERVATION",2013-05-08,"Australian Capital Territory",-35.4,149.1,10000,"Lathamus discolor","Swift Parrot","22345339-fcc0-44ff-97ea-9552bcea99ad"
"dr1010","ClimateWatch","OBSERVATION",2015-04-02,"New South Wales",-33.91,150.92,1000,"Lathamus discolor","Swift Parrot","b748da4a-a283-4f9d-96c7-b45bfc565601"
"dr1010","ClimateWatch","OBSERVATION",2015-04-03,"New South Wales",-33.61,150.75,1000,"Lathamus discolor","Swift Parrot","6c73d7de-19d0-4e4f-92a0-a00933a40076"
"dr1010","ClimateWatch","OBSERVATION",2015-04-09,"New South Wales",-33.76,150.87,1000,"Lathamus discolor","Swift Parrot","c6735ff7-7c2b-483c-9788-ab6790bf953e"
"dr1010","ClimateWatch","OBSERVATION",2015-08-05,"New South Wales",-33.71,150.96,1000,"Lathamus discolor","Swift Parrot","7542167c-2dbb-40c9-823a-1599bbe6d99d"
"dr1010","ClimateWatch","OBSERVATION",2015-04-02,"New South Wales",-34.03,150.82,1000,"Lathamus discolor","Swift Parrot","598d2a13-8797-4c22-a8e2-1398f05bc7bb"
"dr1010","ClimateWatch","OBSERVATION",2013-03-26,"New South Wales",-34.07,150.79,30,"Lathamus discolor","Swift Parrot","4b9012de-bee2-4a1d-bd74-ce8044d24e9a"
"dr1010","ClimateWatch","OBSERVATION",2015-04-01,"New South Wales",-34.18,150.69,1000,"Lathamus discolor","Swift Parrot","f5011d8f-7cc3-4fc2-bd16-872db4d053b2"
"dr1010","ClimateWatch","OBSERVATION",2015-03-22,"New South Wales",-33.75,151.05,1000,"Lathamus discolor","Swift Parrot","4c125902-9e72-4580-9cdf-90005b8ff782"
"dr1010","ClimateWatch","OBSERVATION",2017-03-14,"New South Wales",-34.068887,150.791361,1000,"Lathamus discolor","Swift Parrot","0b6d0720-e32f-4f57-bde6-924963035b9e"
"dr1010","ClimateWatch","OBSERVATION",2015-03-28,"New South Wales",-33.89,150.93,1000,"Lathamus discolor","Swift Parrot","4c327849-197c-444b-af6b-15bf9df8b80d"
"dr1010","ClimateWatch","OBSERVATION",2013-03-26,"New South Wales",-33.99,150.89,30,"Lathamus discolor","Swift Parrot","8a17bfe4-6a4b-48e7-b795-502c14f5fc5d"
"dr1010","ClimateWatch","OBSERVATION",2017-03-22,"New South Wales",-33.811832,151.025147,1000,"Lathamus discolor","Swift Parrot","d48f3b87-66df-40f2-b9da-2fc3d4af57bc"
"dr1010","ClimateWatch","OBSERVATION",2015-09-26,"Western Australia",-31.788162,115.788952,1000,"Lathamus discolor","Swift Parrot","b4d905aa-3502-41f0-968d-f34db4f46660"
"dr1010","ClimateWatch","OBSERVATION",2016-04-24,"New South Wales",-33.771113,150.910508,1000,"Lathamus discolor","Swift Parrot","1c38f957-d5a0-4181-a76e-fc3349c4058c"
